claim_sentence,csv_score,ebv_score,cds_score
"Overall, the studies presented in this review showed that the integration of artificial intelligence (AI) in the field of education has achieved notable advancements, particularly in economically advanced nations, as shown by relevant aca- demic research [19], [55].",0.4,0.22,0.18
"Sig- nificantly, some developed countries such as US has assumed a prominent position in scholarly papers pertaining to the Internet of Things (IoT) in the field of education, as shown by the study [8].",0.4,0.22,0.18
"Previous study present that â€˜the advent of innovative computing tools has facilitated the development of more enriched learning experiences, promoted a spirit of discovery, and fostered cooperation among learners [15].",0.4,0.22,0.18
"Moreover, the incorpora- tion of artificial intelligence (AI) technology into existing information systems presents significant opportunities for increasing educational results via improvement and innova- tion.",0.575,0.22,0.355
"For instance, technologies-enhanced learning (TEL) has arisen as a notable breakthrough, which has disrupted traditional teaching and learning methods by using informa- tion and communication technologies to improve educational results.",0.525,0.22,0.305
"The study employs bibliometric analysis and topic modeling approaches, as described by [29] to offer insights into the changing dynamics of artificial intelligence in the field of education.",0.45,0.22,0.23
"The results reveal a significant rise in AI-related technological research beginning in 2018, with citations reaching their zenith in 2019.",0.4,0.22,0.18
"Fur- thermore, it is expected that specialized artificial intelligence in education (AIED) technologies, which are specifically developed to improve learning and teaching, will have a significant impact on the future of education.",0.475,0.22,0.255
"Against this backdrop, this study employs bibliometric analysis to present an in-depth assessment of the research trends and important areas of interest within the field of AI during the previous decade [5].",0.4,0.22,0.18
The importance of the mobile computing and distributed technologies on the development of intelligent educational applications was thoroughly explored at the 10th Interna- tional Conference on Artificial Intelligence in Education.,0.4,0.22,0.18
